Date,Open,High,Low,Volume,Close
4/27/1998,0.238839,0.247768,0.238839,409796800,0.240513
4/28/1998,0.248884,0.25,0.234375,237171200,0.241071
4/29/1998,0.240513,0.244978,0.238839,189537600,0.24442
4/30/1998,0.24442,0.246652,0.241629,179950400,0.25
5/1/1998,0.245536,0.252232,0.239955,184072000,0.259487
5/4/1998,0.257813,0.263393,0.257813,571144000,0.265067
5/5/1998,0.261161,0.266741,0.260045,419283200,0.270647
5/6/1998,0.266741,0.271763,0.261161,897008000,0.269531
5/7/1998,0.272879,0.273438,0.266741,552899200,0.271763
5/8/1998,0.268415,0.272321,0.267299,270816000,0.276228
5/11/1998,0.27567,0.282366,0.274554,665022400,0.268973
5/12/1998,0.272879,0.274554,0.267299,257812800,0.271763
5/13/1998,0.268415,0.275112,0.264509,314417600,0.268415
5/14/1998,0.271205,0.271763,0.265625,162680000,0.263951
5/15/1998,0.268415,0.271205,0.261161,272585600,0.254464
5/18/1998,0.262277,0.263951,0.253348,232388800,0.262277
5/19/1998,0.258371,0.262835,0.257254,218265600,0.263951
5/20/1998,0.264509,0.266741,0.256696,190176000,0.257813
5/21/1998,0.263951,0.265067,0.25558,130995200,0.248884
5/22/1998,0.256696,0.256696,0.243862,266593600,0.238281
5/26/1998,0.250558,0.252232,0.237723,311774400,0.238839
5/27/1998,0.229353,0.239397,0.228795,370193600,0.244978
5/28/1998,0.238839,0.248884,0.238839,298491200,0.237723
5/29/1998,0.245536,0.246094,0.236049,216720000,0.234375
6/1/1998,0.236607,0.246652,0.228795,319692800,0.239955
6/2/1998,0.236049,0.243862,0.232143,179300800,0.234933
6/3/1998,0.242188,0.243304,0.233817,145140800,0.239397
6/4/1998,0.237723,0.239955,0.230469,156139200,0.239955
6/5/1998,0.239955,0.243304,0.235491,123323200,0.243304
6/8/1998,0.241071,0.24721,0.239397,126627200,0.252232
6/9/1998,0.24442,0.254464,0.24442,275744000,0.250558
6/10/1998,0.25,0.258929,0.246652,229230400,0.248326
6/11/1998,0.251674,0.25558,0.248326,180118400,0.251116
6/12/1998,0.246652,0.252232,0.24442,223854400,0.245536
6/15/1998,0.243304,0.252232,0.243304,136662400,0.25
6/16/1998,0.24721,0.251116,0.243862,129684800,0.251116
6/17/1998,0.25,0.255022,0.249442,187174400,0.243862
6/18/1998,0.247768,0.250558,0.242746,119996800,0.241629
6/19/1998,0.24442,0.244978,0.238839,137558400,0.24442
6/22/1998,0.241071,0.246094,0.238839,134568000,0.248326
6/23/1998,0.244978,0.251116,0.243304,231056000,0.252232
6/24/1998,0.247768,0.25558,0.243862,273795200,0.255022
6/25/1998,0.255022,0.257254,0.25279,191811200,0.251674
6/26/1998,0.254464,0.25558,0.247768,111115200,0.256138
6/29/1998,0.252232,0.257254,0.250558,166185600,0.256138
6/30/1998,0.25558,0.257254,0.251116,131062400,0.267299
7/1/1998,0.257813,0.267857,0.254464,314115200,0.258929
7/2/1998,0.265067,0.268415,0.258929,298110400,0.271205
7/6/1998,0.263393,0.271205,0.260045,270950400,0.272321
7/7/1998,0.271205,0.27567,0.267857,241472000,0.290737
7/8/1998,0.274554,0.294085,0.273996,932814400,0.282924
7/9/1998,0.294085,0.300223,0.280692,566608000,0.286272
7/10/1998,0.287388,0.291295,0.283482,302523200,0.303013
7/13/1998,0.285156,0.304688,0.284598,715388800,0.298549
7/14/1998,0.303013,0.303571,0.295759,548531200,0.307478
7/15/1998,0.300781,0.30971,0.299107,594966400,0.334821
7/16/1998,0.33817,0.340402,0.319196,2561350400,0.329241
7/17/1998,0.332589,0.332589,0.323103,629552000,0.323661
7/20/1998,0.326451,0.327009,0.316964,383891200,0.31808
7/21/1998,0.322545,0.330357,0.317522,329504000,0.3125
7/22/1998,0.311942,0.31808,0.305804,280728000,0.311942
7/23/1998,0.310826,0.31808,0.310268,253131200,0.30971
7/24/1998,0.315848,0.316964,0.301897,271286400,0.307478
