Date,Open,High,Low,Volume,Close
26-Mar-21,120.349998,121.480003,118.919998,93958900,121.389999
29-Mar-21,121.650002,122.580002,120.730003,80819200,119.900002
30-Mar-21,120.110001,120.400002,118.860001,85671900,122.150002
31-Mar-21,121.650002,123.519997,121.150002,118323800,123
1-Apr-21,123.660004,124.18,122.489998,74957400,125.900002
5-Apr-21,123.870003,126.160004,123.07,88651200,126.209999
6-Apr-21,126.5,127.129997,125.650002,80171300,127.900002
7-Apr-21,125.830002,127.919998,125.139999,83466700,130.360001
8-Apr-21,128.949997,130.389999,128.520004,88636600,131.38
